"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1531492757272793088","Tue May 31 04:28:21 +0000 2022","15915","Orang Rusia bikin onar di Bali sampe Polisi kita harus buat peringatan spesifik pakai Bahasa Rusia buat ngatur turis gopnik ini biar gak berulah https://t.co/iRlRioCUSo","1531492757272793088","https://pbs.twimg.com/media/FUD0ZnaUsAAvoP0.jpg","","in","","638","406","3166","https://x.com/undefined/status/1531492757272793088","169445636",
"1542428277851115520","Thu Jun 30 08:42:13 +0000 2022","8689","Dari Bandara Internasional Rzeszow-Jasionka Polandia Kamis pagi waktu setempat saya melanjutkan lawatan perdamaian ke Moskow Rusia menggunakan pesawat Garuda Indonesia. Jika tak ada halangan siang hari ini juga saya hendak menemui Presiden Rusia Vladimir Putin di Kremlin. https://t.co/sbTITwcRbm","1542428277851115520","https://pbs.twimg.com/media/FWfOWBZUcAAm7G9.jpg","","in","","130","505","909","https://x.com/undefined/status/1542428277851115520","366987179",
"1540248532950450177","Fri Jun 24 09:44:06 +0000 2022","94","@idextratime Halah! pada benci sama Israel yang jajah Palestina tapi juga dukung Rusia jajah Ukraina. Telek!. Daaah maen bola aja menang aja kita belon tentu mau bawa2 politik pula.","1540269525047734273","","idextratime","in","","3","28","5","https://x.com/undefined/status/1540269525047734273","105057899",
"1542300902949679104","Thu Jun 30 00:16:04 +0000 2022","1539","Dlm rangka menyambut kunjungan Presiden @jokowi ke Rusia yg membawa misi Perdamaian Perang Rusia-Ukraina anak-anak/siswa SD di Rusia dlm paduan suara mrk menyanyikan LAGU INDONESIA RAYA Makna lagunya terasa skali Tanah tumpah darahku Indonesia hebat Indonesia maju &amp; sejahtera https://t.co/ew1jsr0VKq","1542300902949679104","https://pbs.twimg.com/ext_tw_video_thumb/1542300822096478208/pu/img/fI_b_4N_QudmslVn.jpg","","in","","65","97","339","https://x.com/undefined/status/1542300902949679104","38349153",
"1542683623538585601","Fri Jul 01 01:36:52 +0000 2022","5009","Meninggalkan Moskow Rusia malam ini menuju Abu Dhabi Persatuan Emirat Arab. Saya dijadwalkan bertemu dengan Presiden PEA Sheikh Mohamed bin Zayed bin Sultan Al Nahyan esok hari. https://t.co/IMtKFKqhlc","1542683623538585601","https://pbs.twimg.com/media/FWi2lIEUcAABpOC.jpg","","in","","35","200","429","https://x.com/undefined/status/1542683623538585601","366987179",
"1542346339849084928","Thu Jun 30 03:16:37 +0000 2022","1720","Anak2 sekolah Rusia menyanyikan lagu kebangsaan Indonesia Raya menyambut kedatangan pak @jokowi Terharu dan bangga atas penghormatan ini pada pak @jokowi dan pada Indonesia. https://t.co/MmPHe4b4wa","1542346339849084928","https://pbs.twimg.com/ext_tw_video_thumb/1542344571933163520/pu/img/jMCLZ63cc4rn4lZ5.jpg","","in","","37","90","362","https://x.com/undefined/status/1542346339849084928","1331503267814072320",
"1540666964917760000","Sat Jun 25 12:03:23 +0000 2022","3361","Ya Allah haru dan bangga banget lihat pesawat kepresidenan mendarat di Rusia. Presiden Jokowi keluar dengan langkah tenang dan tegas serta disambut hangat presiden Putin... https://t.co/HhavW9Xl26","1540666964917760000","https://pbs.twimg.com/ext_tw_video_thumb/1540626639934980096/pu/img/r5cY1Hk1qU5kVp6g.jpg","","in","","110","246","570","https://x.com/undefined/status/1540666964917760000","919616833002512385",
"1537413680324747265","Thu Jun 16 12:35:59 +0000 2022","164","Ditengah berkecamuk perang Rusia Vs Ukraina Presiden Jokowi berkunjung ke Rusia tgl 30 Juni. Dikabarkan oleh kantor berita TASS. Ini sangat penting dan akan jadi sorotan dunia. Kayanya JKW akan beli Migas Rusia yg lg jor2an diskon. Kita tunggu. https://t.co/MHvpnZcs7u","1537413680324747265","https://pbs.twimg.com/ext_tw_video_thumb/1537413584896294913/pu/img/0jxagEtMmodoS7yn.jpg","","in","","3","11","40","https://x.com/undefined/status/1537413680324747265","1380219260",
"1536715339337195524","Tue Jun 14 14:21:02 +0000 2022","761","President Joko Widodo of Indonesia to Visit Moscow on June 30 RIA Novosti https://t.co/qP3kEFJDoI","1536715339337195524","https://pbs.twimg.com/media/FVOCc7rX0AM7vM5.jpg","","en","","47","38","151","https://x.com/undefined/status/1536715339337195524","64643056",
"1556686732346933248","Mon Aug 08 17:00:13 +0000 2022","214","Sewaktu kami berburu karya domain publik untuk mengisi tabungan naskah tetiba kami berbelok ke laman Repositori Kemdikbud dan menemukan dua bacaan sastra Rusia yang menyenangkan ini. Keduanya berbentuk PDF pindaian dan bisa diunduh dengan percuma. Silakan. (Tautan di bawah.) https://t.co/YErEspQpla","1556686732346933248","https://pbs.twimg.com/media/FZp2UgNaUAEDsP8.jpg","","in","","4","4","62","https://x.com/undefined/status/1556686732346933248","1276189078115856386",
